date,pred_stage,pred_discharge
2021-08-19,33.311386,1723.0785
2021-08-20,33.1168,1612.5934
2021-08-21,33.15243,1593.4742
2021-08-22,33.539658,1889.149
2021-08-23,34.116566,2296.4426
2021-08-24,33.800564,2259.1274
2021-08-25,34.029537,2422.2588
2021-08-26,34.188465,2422.7354
2021-08-27,34.190666,2378.6597
2021-08-28,34.15308,2338.5964
2021-08-29,34.01455,2235.9504
2021-08-30,34.154167,2387.942
2021-08-31,33.874817,2253.7588
2021-09-01,34.016895,2241.6528
2021-09-02,34.03538,2283.9192
2021-09-03,33.932827,2228.1975
2021-09-04,33.899933,2144.952
2021-09-05,34.023697,2194.6033
2021-09-06,34.03063,2201.1868
2021-09-07,33.93394,2111.3892
2021-09-08,33.88757,2096.4695
2021-09-09,34.105976,2276.8962
2021-09-10,34.1479,2381.1936
2021-09-11,34.218124,2540.7861
2021-09-12,34.091225,2427.9412
2021-09-13,34.2751,2455.8093
2021-09-14,34.139755,2471.466
2021-09-15,34.181805,2404.7356
2021-09-16,34.122402,2351.161
2021-09-17,34.114502,2361.5066
2021-09-18,34.041897,2292.7227
2021-09-19,34.211613,2441.8748
2021-09-20,34.056664,2298.4553
2021-09-21,33.807285,2105.705
2021-09-22,33.853466,2008.4385
2021-09-23,33.905956,1976.392
2021-09-24,33.94937,1990.9717
2021-09-25,33.886734,2028.8246
2021-09-26,33.8237,2033.3552
2021-09-27,33.913353,2099.4775
2021-09-28,33.77062,2026.1354
2021-09-29,33.913643,2131.2441
2021-09-30,34.15354,2332.997
2021-10-01,33.9954,2288.2634
2021-10-02,33.573154,2362.8708
2021-10-03,32.706062,1511.3201
2021-10-04,32.678173,1429.1526
2021-10-05,33.789032,2095.4587
2021-10-06,33.95374,2246.5095
2021-10-07,34.205097,2338.1785
2021-10-08,34.796295,2753.0303
2021-10-09,34.168083,2408.439
2021-10-10,33.689304,2164.4558
2021-10-11,33.661694,2020.0334
2021-10-12,32.984318,1593.8777
2021-10-13,31.973345,1063.5835
2021-10-14,31.317741,749.1625
2021-10-15,30.950039,621.7312
2021-10-16,31.647678,966.93567
2021-10-17,31.276726,883.4977
2021-10-18,31.030237,748.09796
2021-10-19,31.131327,772.5012
2021-10-20,31.090984,766.68353
2021-10-21,31.445229,943.2903
2021-10-22,31.740648,1190.883
2021-10-23,31.919199,1400.3268
2021-10-24,30.842455,654.4107
2021-10-25,30.40725,446.96884
2021-10-26,30.857489,666.8363
2021-10-27,30.67011,555.6268
2021-10-28,30.526579,479.3354
2021-10-29,30.365622,427.5475
2021-10-30,30.306797,398.7465
2021-10-31,30.19317,360.6458
2021-11-01,30.005714,263.72318
2021-11-02,29.937138,267.523
2021-11-03,30.563547,529.9536
2021-11-04,30.424181,453.54214
2021-11-05,29.837671,191.25499
2021-11-06,30.01047,288.1266
2021-11-07,30.04885,333.00305
2021-11-08,29.914698,259.66028
2021-11-09,29.902426,259.57465
2021-11-10,30.07933,332.69696
2021-11-11,30.067427,309.479
2021-11-12,29.952742,269.24503
2021-11-13,30.00354,301.3599
2021-11-14,30.065607,329.01196
2021-11-15,29.909191,249.49254
2021-11-16,29.814068,229.55228
2021-11-17,29.90774,266.35052
2021-11-18,30.00164,318.36224
2021-11-19,29.821959,237.69269
2021-11-20,29.677315,179.65565
2021-11-21,29.73013,202.99736
2021-11-22,29.873037,261.651
2021-11-23,29.83701,244.98969
2021-11-24,29.773382,225.14864
2021-11-25,29.816471,231.66751
2021-11-26,29.776876,225.79903
2021-11-27,29.886454,286.49188
2021-11-28,29.752726,233.11746
2021-11-29,29.827326,244.66916
2021-11-30,29.685759,208.74573
2021-12-01,29.683083,196.74329
2021-12-02,29.814169,255.69466
2021-12-03,29.866915,267.97516
2021-12-04,29.778046,225.842
2021-12-05,29.661934,184.63586
2021-12-06,29.750776,226.1859
2021-12-07,29.625269,191.1184
2021-12-08,29.594711,166.80988
2021-12-09,29.657164,207.55782
2021-12-10,29.551281,144.43753
2021-12-11,29.617826,178.07356
2021-12-12,29.50103,160.62329
2021-12-13,29.59782,157.83072
2021-12-14,29.61226,177.13037
2021-12-15,29.600777,167.512
2021-12-16,29.54613,160.86467
2021-12-17,29.522484,151.22955
2021-12-18,29.470835,145.86514
2021-12-19,29.524067,156.958
2021-12-20,29.585005,179.62782
2021-12-21,29.520386,174.79684
2021-12-22,29.581299,183.89465
2021-12-23,29.470774,131.73103
2021-12-24,29.603895,177.1289
2021-12-25,29.584917,167.01721
2021-12-26,29.544218,142.80511
2021-12-27,29.477976,129.4285
2021-12-28,29.41277,109.38564
2021-12-29,29.608974,172.03394
2021-12-30,29.638802,178.38179
2021-12-31,29.569288,171.46414
2022-01-01,29.526194,138.4447
2022-01-02,29.565367,162.10747
2022-01-03,29.609432,181.32404
2022-01-04,29.539337,149.4633
2022-01-05,29.613335,190.7093
2022-01-06,29.550388,186.84656
2022-01-07,29.613472,191.97495
2022-01-08,29.475973,127.29637
2022-01-09,29.625423,188.73003
2022-01-10,29.55873,159.01634
2022-01-11,29.576933,161.0029
2022-01-12,29.430727,130.90224
2022-01-13,29.578625,163.20924
2022-01-14,29.508179,158.71487
2022-01-15,29.400082,119.23992
2022-01-16,29.661293,176.49883
2022-01-17,29.489159,137.48474
2022-01-18,29.415485,122.402084
2022-01-19,29.414026,97.38378
2022-01-20,29.492348,132.49362
2022-01-21,29.454016,110.664825
2022-01-22,29.438517,117.3728
2022-01-23,29.50883,146.2616
2022-01-24,29.450628,149.45723
2022-01-25,29.426382,118.477516
2022-01-26,29.468258,137.75002
2022-01-27,29.54219,158.36928
2022-01-28,29.53546,174.26173
2022-01-29,29.581013,185.81015
2022-01-30,29.724998,240.2108
2022-01-31,29.801575,244.68646
2022-02-01,29.73181,207.94939
2022-02-02,29.699081,204.60016
2022-02-03,29.714937,209.80113
2022-02-04,29.606441,200.21037
2022-02-05,29.67218,208.17902
2022-02-06,29.568335,155.76897
2022-02-07,29.627558,163.88893
2022-02-08,29.532066,136.59984
2022-02-09,29.55148,166.25706
2022-02-10,29.64985,179.48917
2022-02-11,29.624023,185.61847
2022-02-12,29.739922,203.04376
2022-02-13,29.610416,171.11224
2022-02-14,29.708805,201.68793
2022-02-15,29.689703,177.67563
2022-02-16,29.706423,208.70692
2022-02-17,29.721302,198.02461
2022-02-18,29.546278,166.50925
2022-02-19,29.720278,217.21266
2022-02-20,29.695768,221.22844
2022-02-21,29.80097,231.93535
2022-02-22,29.732925,210.34145
2022-02-23,29.787146,251.0152
2022-02-24,29.806387,241.66861
2022-02-25,29.926548,297.95584
2022-02-26,29.863037,255.53098
2022-02-27,29.85608,244.51015
2022-02-28,29.771662,242.53896
2022-03-01,29.785196,231.26355
2022-03-02,29.747763,214.85754
2022-03-03,29.662373,211.35068
2022-03-04,29.762423,236.04446
2022-03-05,29.763227,225.35126
2022-03-06,29.743069,222.98709
2022-03-07,29.863,257.57263
2022-03-08,29.787285,206.79712
2022-03-09,29.802666,243.0093
2022-03-10,29.714941,212.03143
2022-03-11,29.88551,259.19376
2022-03-12,29.735138,211.92409
2022-03-13,29.864506,268.47684
2022-03-14,29.750074,207.21535
2022-03-15,29.748497,213.71956
2022-03-16,29.709135,198.2542
2022-03-17,29.713129,234.38899
2022-03-18,29.705183,227.9263
2022-03-19,29.939634,305.75894
2022-03-20,29.905348,252.83429
2022-03-21,29.766426,212.62006
2022-03-22,29.725739,219.73172
2022-03-23,29.899668,300.68246
2022-03-24,30.056087,324.0174
2022-03-25,30.05169,330.15814
2022-03-26,29.963257,292.6345
2022-03-27,29.937265,287.76416
2022-03-28,29.829275,255.50111
2022-03-29,29.912924,259.6495
2022-03-30,29.758741,218.30397
2022-03-31,29.670572,195.52336
2022-04-01,29.898188,276.64203
2022-04-02,30.47351,510.1281
2022-04-03,30.494623,504.53894
2022-04-04,29.918022,248.82516
2022-04-05,30.018688,341.0646
2022-04-06,30.038248,372.28726
2022-04-07,29.998064,332.45615
2022-04-08,29.896519,305.22974
2022-04-09,29.780361,246.95403
2022-04-10,30.009481,346.05545
2022-04-11,30.192255,370.08344
2022-04-12,30.20155,396.455
2022-04-13,30.409582,486.52094
2022-04-14,30.56113,524.72546
2022-04-15,30.75826,590.107
2022-04-16,30.911173,658.3399
2022-04-17,31.883898,1180.0505
2022-04-18,31.630754,1060.1538
2022-04-19,31.371744,908.78503
2022-04-20,31.111101,755.69293
2022-04-21,31.20582,784.8726
2022-04-22,31.39374,885.8484
2022-04-23,31.096045,738.5029
2022-04-24,30.89386,621.5023
2022-04-25,30.821074,604.5931
2022-04-26,30.906677,644.061
2022-04-27,30.855484,605.69305
2022-04-28,30.839808,588.21436
2022-04-29,30.870766,631.93585
2022-04-30,31.53852,958.4107
2022-05-01,31.494846,952.43976
2022-05-02,31.47366,961.09375
2022-05-03,31.190454,805.8209
2022-05-04,31.044868,732.5589
2022-05-05,31.122326,759.83777
2022-05-06,31.241827,817.6928
2022-05-07,31.839148,1154.449
2022-05-08,32.11825,1362.7885
2022-05-09,32.28743,1499.5012
2022-05-10,32.516506,1584.4692
2022-05-11,32.813988,1695.8933
2022-05-12,33.102215,1846.956
2022-05-13,33.104424,1870.6909
2022-05-14,33.297462,1938.1833
2022-05-15,33.45061,1983.4191
2022-05-16,33.507545,1990.8896
2022-05-17,33.5526,1964.3622
2022-05-18,33.581814,2006.7477
2022-05-19,33.69058,2058.1897
2022-05-20,33.742622,2129.821
2022-05-21,33.68403,2037.7216
2022-05-22,33.61574,1990.5535
2022-05-23,33.60553,1957.0925
2022-05-24,33.540455,1876.3372
2022-05-25,33.45951,1873.8384
2022-05-26,33.362328,1791.8651
2022-05-27,33.20889,1678.7314
2022-05-28,33.52404,1835.1808
2022-05-29,33.775127,2012.0887
2022-05-30,33.74979,2038.3271
2022-05-31,33.880146,2125.9927
2022-06-01,33.7939,2111.2114
2022-06-02,33.91921,2130.506
2022-06-03,33.82148,2069.344
2022-06-04,33.729725,1867.3379
2022-06-05,33.833508,1621.7202
2022-06-06,34.166313,1664.5491
2022-06-07,34.234127,1645.5596
2022-06-08,34.26489,1670.8043
2022-06-09,34.18149,1699.3177
2022-06-10,34.05695,1752.7285
2022-06-11,33.870594,1661.4653
2022-06-12,33.537018,1377.0741
2022-06-13,33.264076,1354.1077
2022-06-14,33.188972,1304.5608
2022-06-15,33.45617,1541.057
2022-06-16,33.451283,1688.0079
2022-06-17,33.531525,1800.462
2022-06-18,33.4416,1741.569
2022-06-19,33.25004,1635.3218
2022-06-20,33.41757,1694.804
2022-06-21,33.432266,1708.6215
2022-06-22,33.681526,1888.0359
2022-06-23,33.724373,1890.5177
2022-06-24,33.763504,1892.3934
2022-06-25,33.665897,1861.3195
2022-06-26,33.931805,2030.181
2022-06-27,33.81048,2026.0034
2022-06-28,33.876007,2112.155
2022-06-29,33.95019,2181.273
2022-06-30,33.990906,2394.9534
2022-07-01,33.9613,2374.4805
2022-07-02,33.91996,2301.9434
2022-07-03,33.771145,2150.9988
2022-07-04,33.57472,1954.9661
2022-07-05,33.45916,1772.5819
2022-07-06,33.7284,1932.6293
2022-07-07,33.92561,2070.3452
2022-07-08,33.72501,1987.5254
2022-07-09,33.39244,1666.6881
2022-07-10,32.94665,1232.4445
2022-07-11,32.308937,979.61084
2022-07-12,32.01789,956.3896
2022-07-13,31.873138,958.58356
2022-07-14,31.985855,1102.3257
2022-07-15,31.682928,974.06744
2022-07-16,31.64604,979.36487
2022-07-17,32.14748,1257.6812
2022-07-18,32.24056,1343.2631
2022-07-19,32.219288,1413.0023
2022-07-20,31.97823,1304.9357
2022-07-21,31.777067,1108.3367
2022-07-22,32.25506,1386.6292
2022-07-23,31.895893,1247.8683
2022-07-24,31.216286,780.06134
2022-07-25,31.168886,789.2143
2022-07-26,31.44209,914.17633
2022-07-27,31.801243,1140.0938
2022-07-28,31.550842,1036.8457
2022-07-29,31.731388,1141.8862
2022-07-30,31.810608,1226.8649
2022-07-31,31.430254,943.82043
2022-08-01,31.22139,798.29254
2022-08-02,31.2209,798.64105
2022-08-03,31.336815,877.01013
2022-08-04,31.197714,792.6445
2022-08-05,31.069868,741.8863
2022-08-06,31.172705,796.2192
2022-08-07,31.821398,1136.4221
2022-08-08,31.77824,1137.8739
2022-08-09,30.830004,546.66077
2022-08-10,31.014265,713.65094
2022-08-11,31.372252,900.74493
2022-08-12,31.180702,748.6006
2022-08-13,30.935991,664.14374
2022-08-14,30.94569,691.7714
2022-08-15,30.673931,534.4312
2022-08-16,30.28229,395.54626
2022-08-17,30.588148,546.70667
2022-08-18,30.651222,547.81805
2022-08-19,30.567581,526.5473
2022-08-20,30.412546,430.94073
2022-08-21,30.465145,461.83673
2022-08-22,30.542665,481.3275
2022-08-23,30.096794,293.83304
2022-08-24,30.165682,356.4657
2022-08-25,30.286211,422.05444
2022-08-26,30.033506,316.83868
2022-08-27,29.836939,206.2805
2022-08-28,29.760809,191.915
2022-08-29,29.771488,231.66145
2022-08-30,29.949661,257.56238
2022-08-31,29.912758,240.31198
2022-09-01,29.84985,238.38124
2022-09-02,29.99245,270.14572
2022-09-03,29.834343,233.7671
2022-09-04,29.777845,219.09589
2022-09-05,29.88327,236.17091
2022-09-06,29.879957,226.82614
2022-09-07,30.040003,275.92917
2022-09-08,29.874811,231.25128
2022-09-09,29.854239,227.86505
2022-09-10,29.588911,131.42111
2022-09-11,29.73401,187.16061
2022-09-12,29.732758,190.27672
2022-09-13,29.672146,167.09589
2022-09-14,29.703688,180.28145
2022-09-15,29.697926,145.82118
2022-09-16,29.7321,201.0045
2022-09-17,29.913324,250.48137
2022-09-18,29.853207,222.25597
2022-09-19,29.697647,167.42363
2022-09-20,29.613201,144.63876
2022-09-21,29.60287,126.68214
2022-09-22,29.564516,116.44917
2022-09-23,29.50147,108.26591
2022-09-24,29.652733,183.53876
2022-09-25,29.609734,141.0017
2022-09-26,29.574455,128.53441
2022-09-27,29.60539,137.61272
2022-09-28,29.574203,146.2232
2022-09-29,29.660896,167.70865
2022-09-30,29.609087,155.59062
2022-10-01,29.607958,157.28674
2022-10-02,29.662268,199.21771
2022-10-03,29.799957,238.99294
2022-10-04,29.711695,212.43826
2022-10-05,30.04882,337.75812
2022-10-06,30.212831,367.9367
2022-10-07,30.161802,347.42154
2022-10-08,30.01438,321.634
2022-10-09,30.050104,319.29227
2022-10-10,30.030207,305.41638
2022-10-11,30.123093,352.70367
2022-10-12,30.100752,351.32504
2022-10-13,29.81254,206.47072
2022-10-14,29.565662,135.89355
2022-10-15,29.564346,129.95305
2022-10-16,29.537605,158.02464
2022-10-17,29.602716,173.65323
2022-10-18,29.627455,169.19388
2022-10-19,29.568739,166.60463
2022-10-20,29.567858,189.55229
2022-10-21,29.516943,149.72809
2022-10-22,29.538404,164.08301
2022-10-23,29.435999,117.41119
2022-10-24,29.55071,164.34473
2022-10-25,29.632355,176.89781
2022-10-26,29.648365,198.10336
2022-10-27,29.482296,129.2357
2022-10-28,29.527323,136.4516
2022-10-29,29.460333,130.90726
2022-10-30,29.620142,186.66345
2022-10-31,29.504456,139.47597
2022-11-01,29.49017,175.69408
2022-11-02,29.604984,166.91193
2022-11-03,29.599516,186.75214
2022-11-04,29.62997,189.28014
2022-11-05,29.514582,147.85057
2022-11-06,29.637348,203.36378
2022-11-07,29.57018,164.42632
2022-11-08,29.463957,123.49943
2022-11-09,29.484394,122.03857
2022-11-10,29.571615,186.58957
2022-11-11,29.549707,174.78175
2022-11-12,29.550613,167.97939
2022-11-13,29.50301,142.06941
2022-11-14,29.575312,182.26245
2022-11-15,29.514791,148.50502
2022-11-16,29.608335,189.95236
2022-11-17,29.612494,189.31175
2022-11-18,29.5444,168.8986
2022-11-19,29.68265,197.66713
2022-11-20,29.627459,174.80309
2022-11-21,29.640694,170.26593
2022-11-22,29.620426,176.69594
2022-11-23,29.506178,146.51192
2022-11-24,29.591423,157.22015
2022-11-25,29.63293,210.42526
2022-11-26,29.40055,107.45894
2022-11-27,29.61039,161.15411
2022-11-28,29.576233,134.08455
2022-11-29,29.518862,160.39397
2022-11-30,29.43093,134.37857
2022-12-01,29.608183,183.27979
2022-12-02,29.543768,164.55469
2022-12-03,29.49507,147.77394
2022-12-04,29.542355,155.47871
2022-12-05,29.541035,160.81175
2022-12-06,29.633842,183.55986
2022-12-07,29.5075,138.75414
2022-12-08,29.700783,211.33061
2022-12-09,29.560946,185.65106
2022-12-10,29.443398,99.55529
2022-12-11,29.607737,167.69221
2022-12-12,29.62643,186.43222
2022-12-13,29.59514,174.02649
2022-12-14,29.514498,150.20718
2022-12-15,29.486315,144.20114
2022-12-16,29.493793,154.84256
2022-12-17,29.543154,155.82086
2022-12-18,29.513296,145.7894
2022-12-19,29.549246,126.32108
2022-12-20,29.514389,117.595695
2022-12-21,29.590118,177.80496
2022-12-22,29.530748,154.31497
2022-12-23,29.577818,154.57196
2022-12-24,29.56445,153.8083
2022-12-25,29.496244,136.08488
2022-12-26,29.61966,187.28914
2022-12-27,29.599333,169.39787
2022-12-28,29.51084,162.95654
2022-12-29,29.445896,117.98048
2022-12-30,29.456282,116.900894
2022-12-31,29.586824,157.50777
